date,actual_sst,predicted_sst,error_actual_minus_predicted
2000-01-01,28.863417,28.681747,0.18166924
2000-02-01,28.71634,28.792126,-0.07578659
2000-03-01,29.029615,28.974167,0.055448532
2000-04-01,29.400072,29.059576,0.34049606
2000-05-01,29.367645,29.061981,0.30566406
2000-06-01,29.265139,28.976288,0.28885078
2000-07-01,28.999378,28.899494,0.09988403
2000-08-01,28.739733,28.814056,-0.074323654
2000-09-01,28.787077,28.778637,0.008440018
2000-10-01,28.838919,28.74333,0.095588684
2000-11-01,28.972643,28.754927,0.21771622
2000-12-01,28.863735,28.76135,0.10238457
2001-01-01,28.880077,28.799906,0.080171585
2001-02-01,29.014906,28.871714,0.14319229
2001-03-01,29.169197,28.959867,0.2093296
2001-04-01,29.443018,29.013302,0.4297161
2001-05-01,29.845907,29.010645,0.8352623
2001-06-01,29.593939,28.96023,0.63370895
2001-07-01,29.390827,28.90539,0.4854374
2001-08-01,29.063398,28.863146,0.20025253
2001-09-01,28.859674,28.847439,0.0122356415
2001-10-01,28.714352,28.840479,-0.12612724
2001-11-01,28.553696,28.845196,-0.2915001
2001-12-01,28.711433,28.851294,-0.13986015
2002-01-01,28.890179,28.874348,0.015830994
2002-02-01,28.985422,28.913883,0.071538925
2002-03-01,29.671003,28.958755,0.71224785
2002-04-01,29.961168,28.982327,0.9788418
2002-05-01,30.01736,28.973265,1.044096
2002-06-01,29.691114,28.940115,0.75099945
2002-07-01,29.36725,28.905756,0.46149445
2002-08-01,29.065428,28.884481,0.18094635
2002-09-01,29.066248,28.877268,0.1889801
2002-10-01,28.891651,28.879608,0.012042999
2002-11-01,28.72821,28.885704,-0.15749359
2002-12-01,29.101274,28.893858,0.20741653
2003-01-01,29.407679,28.908955,0.49872398
2003-02-01,29.516926,28.930721,0.5862045
2003-03-01,29.651556,28.950212,0.70134354
2003-04-01,30.01635,28.956427,1.0599232
2003-05-01,29.971762,28.946001,1.0257607
2003-06-01,29.707413,28.925533,0.7818794
2003-07-01,29.475489,28.907429,0.5680599
2003-08-01,28.930847,28.897547,0.0333004
2003-09-01,29.09967,28.896269,0.20340157
2003-10-01,28.751532,28.899858,-0.14832687
2003-11-01,28.872858,28.905975,-0.033117294
2003-12-01,28.96412,28.914043,0.05007744
2004-01-01,29.397417,28.924124,0.4732933
2004-02-01,29.390408,28.934105,0.45630264
2004-03-01,29.37075,28.940155,0.4305954
2004-04-01,29.87718,28.938734,0.93844604
